"anonINDX","eINDX","HSCH","MJR","atitMATH","passMATH","firstQIZZ","diffQIZZ","averQIZZ","numE","honLST","numP","numQ","averATND","numHW","honHW","paperHW","lateHW","hardHW","additHW","lateADHW","proxi.25","proxi.75","Y","group","CHEAT"
5,13,1,3,3,10,0.0625,0.103125,0.165625,4,1,4,3,3.666666667,1,1,0.3333333333,0,0.2222222222,0,,1,0.5,0.525,1,1
7,29,1,4,3,5,0.59375,-0.1103125,0.4834375,3,1,2,3,2.666666667,0,1,"NA","NA",0.4444444444,0,,0.5,0.5,"NA","NA","NA"
22,8,2,3,3,5,0.130208333,0.1123437503,0.2425520833,3,1,3,3,3,3,1,0.6666666667,0,0.5,1,0,0.33,1,0.45,1,1
23,3,1,4,3,5,0.15625,0.4378125,0.5940625,4,1,4,4,4,3,1,1,0.3333333333,0.5,1,0,0.5,0.75,0.55,2,0
27,39,1,5,3,0,"NA","NA",0.28,3,1,3,2,2.666666667,3,1,1,0,0.5555555556,1,0,0.67,0.67,0.775,1,1
47,49,0,4,3,5,0.140625,0.28953125,0.43015625,2,1,2,3,2.333333333,3,1,1,0.3333333333,0.3333333333,1,0,0.5,1,0.775,1,1
53,4,1,3,3,5,0.541666667,-0.2662500003,0.2754166668,3,1,3,3,3,2,1,0,0,0.3888888889,1,0,0.33,0.67,0.325,2,1
54,38,0,3,3,6,0.119791667,0.2451562498,0.3649479168,3,1,3,4,3.333333333,3,1,1,0,0.5,1,0,1,0.33,0.275,2,1
15,1,1,4,4,5,0.171875,0.27609375,0.44796875,4,1,4,3,3.666666667,3,1,1,0.3333333333,0.2777777778,1,0,0,0.75,0.525,1,1
19,11,1,3,4,5,0.34375,0.0221875,0.3659375,3,1,3,3,3,3,1,1,0,0.5,1,0,0.67,1,0.525,1,1
21,10,2,3,4,5,0.208333333,0.09875000025,0.3070833333,3,1,3,3,3,3,1,1,0,0.4444444444,1,0,0.33,0.67,0.4,1,1
24,12,1,3,5,10,"NA","NA",0.28,2,1,2,2,2,1,1,0.3333333333,0,0.3333333333,1,0,0.5,0.5,0.55,2,1
29,7,0,5,5,5,0.375,-0.07625,0.29875,4,1,4,4,4,3,1,1,0,0.6111111111,1,0,0.25,1,0.55,1,0
52,6,1,3,5,5,0.395833333,0.00812500025,0.4039583333,4,1,4,2,3.333333333,3,1,1,0,0.7777777778,1,0,0.25,0.5,0.775,1,0
39,24,1,3,6,5,0.208333333,0.1437500003,0.3520833333,4,1,4,4,4,3,1,0.6666666667,0.6666666667,1,1,1,0.75,0.5,0.275,2,1
44,25,1,1,6,5,0.192708333,-0.01453124975,0.1781770833,4,1,4,4,4,2,1,0,0.3333333333,0.5,1,0,1,0.25,0.3,2,1
55,5,1,4,6,5,0.640625,-0.34546875,0.29515625,2,1,2,2,2,0,1,"NA","NA",0.2222222222,"NA","NA",0,0,"NA","NA","NA"
