"anonINDX","eINDX","HSCH","MJR","atitMATH","passMATH","firstQIZZ","diffQIZZ","averQIZZ","numE","honLST","numP","numQ","averATND","numHW","honHW","paperHW","lateHW","hardHW","additHW","lateADHW","proxi.25","proxi.75","Y","group","CHEAT"
14,41,0,1,1,5,0.078125,0.29140625,0.36953125,4,1,3,3,3.333333333,0,1,"NA","NA",0.2777777778,0,,1,0,0.25,2,1
16,14,0,3,1,5,0.161458333,0.05890625025,0.2203645833,4,1,4,2,3.333333333,1,1,0.3333333333,0,0.05555555556,0,,0.75,0.25,0.275,1,1
41,31,2,3,1,5,0.375,-0.06125,0.31375,3,1,3,3,3,2,1,0.3333333333,0.3333333333,0.5555555556,1,1,0.33,0.33,0.425,2,1
6,37,1,4,2,5,0.270833333,-0.05312499975,0.2177083333,4,1,3,2,3,2,1,0.3333333333,0,0.1666666667,0,,1,1,0.55,1,0
13,40,0,1,2,5,0.552083333,0.2109375003,0.7630208333,4,1,4,4,4,3,1,1,0,0.5555555556,1,0,1,0.75,0.125,2,1
18,27,1,3,2,5,0.151041667,0.1867187498,0.3377604168,3,1,3,3,3,1,1,0.3333333333,0.3333333333,0.3333333333,1,0,0.67,0.67,0.4,1,1
25,2,1,3,2,5,0.3125,0.330625,0.643125,4,1,4,4,4,3,1,1,0.3333333333,0.4444444444,1,0,0.5,0.25,0.525,1,1
28,9,2,3,2,5,0.177083333,-0.00281249975,0.1742708333,3,1,3,3,3,3,1,1,0,0.5555555556,1,0,0.33,1,0.325,2,1
30,18,2,1,2,7,0.463541667,0.03234374975,0.4958854168,4,1,4,4,4,2,1,0.6666666667,0,0.7222222222,1,0,0.75,0.75,0.575,2,0
32,33,2,3,2,5,0.432291667,0.01578124975,0.4480729168,3,1,3,3,3,2,1,0.3333333333,0,0.4444444444,1,1,0.33,0.67,0.35,2,0
33,30,2,3,2,5,0.4375,-0.118125,0.319375,3,1,3,3,3,2,1,0.3333333333,0,0.4444444444,1,1,0.33,0.67,0.525,1,1
34,16,2,1,2,5,0.604166667,-0.03312500025,0.5710416668,3,1,3,3,3,1,1,0,0,0.5555555556,0,,1,0.67,"NA","NA","NA"
35,26,2,4,2,5,0.119791667,0.2101562498,0.3299479168,3,1,3,3,3,1,1,0,0,0.4444444444,0,,1,0,0.4,2,0
43,34,1,3,2,5,0.130208333,0.06234375025,0.1925520833,2,1,2,2,2,1,1,0,0,0.2777777778,0,,0,0,"NA","NA","NA"
50,17,2,1,2,5,0.4375,0.091875,0.529375,3,1,3,3,3,1,1,0.3333333333,0,0.2777777778,0,,0.33,1,"NA","NA","NA"
