"anonINDX","eINDX","HSCH","MJR","atitMATH","passMATH","firstQIZZ","diffQIZZ","averQIZZ","numE","honLST","numP","numQ","averATND","numHW","honHW","paperHW","lateHW","hardHW","additHW","lateADHW","proxi.25","proxi.75","Y","group","CHEAT"
13,40,0,1,2,5,0.552083333,0.2109375003,0.7630208333,4,1,4,4,4,3,1,1,0,0.5555555556,1,0,1,0.75,0.125,2,1
14,41,0,1,1,5,0.078125,0.29140625,0.36953125,4,1,3,3,3.333333333,0,1,"NA","NA",0.2777777778,0,,1,0,0.25,2,1
23,3,1,4,3,5,0.15625,0.4378125,0.5940625,4,1,4,4,4,3,1,1,0.3333333333,0.5,1,0,0.5,0.75,0.55,2,0
24,12,1,3,5,10,"NA","NA",0.28,2,1,2,2,2,1,1,0.3333333333,0,0.3333333333,1,0,0.5,0.5,0.55,2,1
28,9,2,3,2,5,0.177083333,-0.00281249975,0.1742708333,3,1,3,3,3,3,1,1,0,0.5555555556,1,0,0.33,1,0.325,2,1
30,18,2,1,2,7,0.463541667,0.03234374975,0.4958854168,4,1,4,4,4,2,1,0.6666666667,0,0.7222222222,1,0,0.75,0.75,0.575,2,0
32,33,2,3,2,5,0.432291667,0.01578124975,0.4480729168,3,1,3,3,3,2,1,0.3333333333,0,0.4444444444,1,1,0.33,0.67,0.35,2,0
35,26,2,4,2,5,0.119791667,0.2101562498,0.3299479168,3,1,3,3,3,1,1,0,0,0.4444444444,0,,1,0,0.4,2,0
39,24,1,3,6,5,0.208333333,0.1437500003,0.3520833333,4,1,4,4,4,3,1,0.6666666667,0.6666666667,1,1,1,0.75,0.5,0.275,2,1
41,31,2,3,1,5,0.375,-0.06125,0.31375,3,1,3,3,3,2,1,0.3333333333,0.3333333333,0.5555555556,1,1,0.33,0.33,0.425,2,1
44,25,1,1,6,5,0.192708333,-0.01453124975,0.1781770833,4,1,4,4,4,2,1,0,0.3333333333,0.5,1,0,1,0.25,0.3,2,1
53,4,1,3,3,5,0.541666667,-0.2662500003,0.2754166668,3,1,3,3,3,2,1,0,0,0.3888888889,1,0,0.33,0.67,0.325,2,1
54,38,0,3,3,6,0.119791667,0.2451562498,0.3649479168,3,1,3,4,3.333333333,3,1,1,0,0.5,1,0,1,0.33,0.275,2,1
