"anonINDX","eINDX","HSCH","MJR","atitMATH","passMATH","firstQIZZ","diffQIZZ","averQIZZ","numE","honLST","numP","numQ","averATND","numHW","honHW","paperHW","lateHW","hardHW","additHW","lateADHW","proxi.25","proxi.75","Y","group","CHEAT"
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"NA","NA",0,0,"NA","NA","NA","NA",0,,"NA","NA",0.15,1,0
2,15,"NA","NA","NA","NA","NA","NA",0.355,3,1,3,3,3,3,1,1,0.3333333333,0.3888888889,1,1,0.33,0,0.05,2,0
3,22,"NA","NA","NA","NA","NA","NA","NA",3,1,3,"NA",2,3,0,0,0.3333333333,0,0,,0.67,0,0.525,1,1
4,46,"NA","NA","NA","NA","NA","NA",0.08,2,1,3,2,2.333333333,1,1,0.3333333333,0.3333333333,0.5,1,0,1,0.67,0.45,1,0
5,13,1,3,3,10,0.0625,0.103125,0.165625,4,1,4,3,3.666666667,1,1,0.3333333333,0,0.2222222222,0,,1,0.5,0.525,1,1
6,37,1,4,2,5,0.270833333,-0.05312499975,0.2177083333,4,1,3,2,3,2,1,0.3333333333,0,0.1666666667,0,,1,1,0.55,1,0
9,"NA","NA","NA","NA","NA","NA","NA",0.055,1,1,2,1,1.333333333,1,0,0.3333333333,0,0.2222222222,0,,1,0,0.4,1,1
10,42,"NA","NA","NA","NA","NA","NA",0.34,3,1,3,3,3,3,1,0,0,0.6111111111,1,0,0.67,0.33,0.275,2,1
11,35,"NA","NA","NA","NA","NA","NA",0.485,2,1,3,3,2.666666667,3,1,1,0.3333333333,0.7222222222,1,1,0.67,0,0.375,1,1
12,23,"NA","NA","NA","NA","NA","NA","NA",4,1,4,"NA",2.666666667,0,"NA","NA","NA",0,0,,1,0.5,0.25,2,1
13,40,0,1,2,5,0.552083333,0.2109375003,0.7630208333,4,1,4,4,4,3,1,1,0,0.5555555556,1,0,1,0.75,0.125,2,1
14,41,0,1,1,5,0.078125,0.29140625,0.36953125,4,1,3,3,3.333333333,0,1,"NA","NA",0.2777777778,0,,1,0,0.25,2,1
15,1,1,4,4,5,0.171875,0.27609375,0.44796875,4,1,4,3,3.666666667,3,1,1,0.3333333333,0.2777777778,1,0,0,0.75,0.525,1,1
16,14,0,3,1,5,0.161458333,0.05890625025,0.2203645833,4,1,4,2,3.333333333,1,1,0.3333333333,0,0.05555555556,0,,0.75,0.25,0.275,1,1
17,36,"NA","NA","NA","NA","NA","NA",0.49,3,1,3,3,3,2,1,0.6666666667,0,0.6666666667,1,1,1,0.33,0.35,1,1
18,27,1,3,2,5,0.151041667,0.1867187498,0.3377604168,3,1,3,3,3,1,1,0.3333333333,0.3333333333,0.3333333333,1,0,0.67,0.67,0.4,1,1
19,11,1,3,4,5,0.34375,0.0221875,0.3659375,3,1,3,3,3,3,1,1,0,0.5,1,0,0.67,1,0.525,1,1
20,43,"NA","NA","NA","NA","NA","NA",0.205,2,1,2,2,2,0,"NA","NA","NA",0.3888888889,0,,1,0.5,0.325,1,1
21,10,2,3,4,5,0.208333333,0.09875000025,0.3070833333,3,1,3,3,3,3,1,1,0,0.4444444444,1,0,0.33,0.67,0.4,1,1
22,8,2,3,3,5,0.130208333,0.1123437503,0.2425520833,3,1,3,3,3,3,1,0.6666666667,0,0.5,1,0,0.33,1,0.45,1,1
23,3,1,4,3,5,0.15625,0.4378125,0.5940625,4,1,4,4,4,3,1,1,0.3333333333,0.5,1,0,0.5,0.75,0.55,2,0
