"anonINDX","eINDX","HSCH","MJR","atitMATH","passMATH","firstQIZZ","diffQIZZ","averQIZZ","numE","honLST","numP","numQ","averATND","numHW","honHW","paperHW","lateHW","hardHW","additHW","lateADHW","proxi.25","proxi.75","Y","group","CHEAT"
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"NA","NA",0,0,"NA","NA","NA","NA",0,,"NA","NA",0.15,1,0
2,15,"NA","NA","NA","NA","NA","NA",0.355,3,1,3,3,3,3,1,1,0.3333333333,0.3888888889,1,1,0.33,0,0.05,2,0
4,46,"NA","NA","NA","NA","NA","NA",0.08,2,1,3,2,2.333333333,1,1,0.3333333333,0.3333333333,0.5,1,0,1,0.67,0.45,1,0
6,37,1,4,2,5,0.270833333,-0.05312499975,0.2177083333,4,1,3,2,3,2,1,0.3333333333,0,0.1666666667,0,,1,1,0.55,1,0
23,3,1,4,3,5,0.15625,0.4378125,0.5940625,4,1,4,4,4,3,1,1,0.3333333333,0.5,1,0,0.5,0.75,0.55,2,0
29,7,0,5,5,5,0.375,-0.07625,0.29875,4,1,4,4,4,3,1,1,0,0.6111111111,1,0,0.25,1,0.55,1,0
30,18,2,1,2,7,0.463541667,0.03234374975,0.4958854168,4,1,4,4,4,2,1,0.6666666667,0,0.7222222222,1,0,0.75,0.75,0.575,2,0
31,32,"NA","NA","NA","NA","NA","NA",0.31,2,1,2,2,2,2,1,0.3333333333,0.3333333333,0.3888888889,1,1,0.5,1,0.475,1,0
32,33,2,3,2,5,0.432291667,0.01578124975,0.4480729168,3,1,3,3,3,2,1,0.3333333333,0,0.4444444444,1,1,0.33,0.67,0.35,2,0
35,26,2,4,2,5,0.119791667,0.2101562498,0.3299479168,3,1,3,3,3,1,1,0,0,0.4444444444,0,,1,0,0.4,2,0
36,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"NA","NA",0,0,"NA","NA","NA","NA",0,,"NA","NA",0.075,2,0
38,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0,1,"NA",0.3333333333,1,0,0,0,0,1,0,1,0,0.3,1,0
52,6,1,3,5,5,0.395833333,0.00812500025,0.4039583333,4,1,4,2,3.333333333,3,1,1,0,0.7777777778,1,0,0.25,0.5,0.775,1,0
