OBSV, type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller,MEDIAN_SQ,type_new,House_story,BIG_PROPERTY
1,1-room,Sofia, city_Sofia,Krasna_polyana_1,53000,46,1152.17,Brick,1974,8,YES,1/30/2019,1/31/2019,Agency,943.18,1,0,0
2,1-room,Sofia, city_Sofia,Tsentr,71999,52,1384.59,Brick,2008,2,YES,6/28/2019,6/30/2019,Agency,"1,470.00",1,0,0
3,1-room,Sofia, city_Sofia,Khadzhy_Dymytr,52900,47,1125.53,Panel,1985,8,NO,4/16/2019,4/30/2019,Agency,996.51,1,0,0
4,1-room,Sofia, city_Sofia,Mladost_3,53000,46,1152.17,Panel,0,3,YES,1/14/2019,1/31/2019,Agency,"1,204.96",1,0,0
5,1-room,Sofia, city_Sofia,Druzhba_1,39000,28,1392.85,EPK,0,2,YES,1/14/2019,1/31/2019,Agency,"1,000.00",1,0,0
6,1-room,Sofia, city_Sofia,Banyshora,45000,45,1000,Panel,0,1,YES,3/27/2019,3/31/2019,Agency,"1,000.00",1,0,0
7,1-room,Sofia, city_Sofia,Hevhelyysky,40500,41,987.8,Panel,0,,YES,1/28/2019,1/31/2019,Agency,"1,101.28",1,0,0
8,1-room,Sofia, city_Sofia,Lyulyn_9,36600,44,831.81,Brick,2020,5,NO,3/26/2019,3/31/2019,Agency,906.73,1,0,0
9,1-room,Sofia, city_Sofia,Khypodruma,65000,48,1354.16,Brick,1990,3,YES,1/10/2019,1/31/2019,Agency,"1,262.71",1,0,0
10,1-room,Sofia, city_Sofia,Tsentr,36000,35,1028.57,Brick,0,0,NO,2/27/2019,2/28/2019,Agency,"1,470.00",1,0,0
11,1-room,Sofia, city_Sofia,Sukhata_reka,27500,30,916.66,Panel,0,4,NO,7/26/2019,7/31/2019,Agency,"1,000.00",1,0,0
12,1-room,Sofia, city_Sofia,Lyulyn_9,37700,44,856.81,Brick,2020,4,NO,3/26/2019,3/31/2019,Agency,906.73,1,0,0
13,1-room,Sofia, city_Sofia,Ovcha_kupel_1,58900,46,1280.43,Panel,1990,1,YES,12/17/2019,12/31/2019,Agency,934.77,1,0,0
14,1-room,Sofia, city_Sofia,Lyulyn_6,45990,48,958.12,Panel,1984,7,YES,6/25/2019,6/30/2019,Agency,852.27,1,0,0
15,1-room,Sofia, city_Sofia,Tsentr,105000,45,2333.33,Brick,0,0,YES,2/5/2019,2/28/2019,Agency,"1,470.00",1,0,0
16,1-room,Sofia, city_Sofia,Strelbyshche,65000,45,1444.44,EPK,1990,7,YES,2/12/2019,2/28/2019,Agency,"1,328.70",1,0,0
17,1-room,Sofia, city_Sofia,Mladost_2,41990,39,1076.66,EPK,1987,8,YES,3/29/2019,3/31/2019,Agency,"1,264.12",1,0,0
18,1-room,Sofia, city_Sofia,Khadzhy_Dymytr,56800,40,1420,Brick,2019,7,NO,3/25/2019,3/31/2019,Agency,996.51,1,0,0
19,1-room,Sofia, city_Sofia,Ovcha_kupel_1,34000,46,739.13,Brick,2009,0,NO,7/16/2019,7/31/2019,Agency,934.77,1,0,0
20,1-room,Sofia, city_Sofia,Krasna_polyana_2,40900,41,997.56,EPK,1980,9,YES,2/21/2019,2/28/2019,Agency,918.47,1,0,0
21,1-room,Sofia, city_Sofia,Mladost_2,41900,35,1197.14,EPK,1983,8,YES,4/30/2019,4/30/2019,Agency,"1,264.12",1,0,0
22,1-room,Sofia, city_Sofia,Tsentr,85000,49,1734.69,Brick,1950,0,YES,1/18/2019,1/31/2019,Agency,"1,470.00",1,0,0
23,1-room,Sofia, city_Sofia,Serdyka,55000,56,982.14,EPK,1982,13,YES,6/23/2019,6/30/2019,Agency,"1,023.89",1,0,0
24,1-room,Sofia, city_Sofia,Banyshora,46332,49,945.55,Brick,0,5,YES,1/15/2019,1/31/2019,Agency,"1,000.00",1,0,0
25,1-room,Sofia, city_Sofia,Tolstoy,47000,46,1021.73,Panel,1984,6,YES,3/29/2019,3/31/2019,Agency,928.57,1,0,0
