Quartid,MEDIAN_SQ_M
Банишора,"1,000.00"
Белите брези,"1,229.35"
Бенковски,845.23
Борово,"1,204.54"
Бояна,"1,155.17"
Бъкстон,"1,094.98"
в.з.Американски колеж,"1,203.20"
Витоша,998.87
Враждебна,804.12
Връбница 1,907.87
Връбница 2,876.98
Гевгелийски,"1,101.28"
Гео Милев,"1,312.36"
Горна баня,"1,000.00"
Горубляне,909.09
Гоце Делчев,"1,289.15"
Дианабад,"1,218.00"
Докторски паметник,"2,232.14"
Драгалевци,"1,105.68"
Дружба 1,"1,000.00"
Дружба 2,"1,000.00"
Дървеница,"1,115.45"
Западен парк,"1,053.69"
Захарна фабрика,909.06
Зона Б-18,"1,083.83"
Зона Б-19,"1,131.60"
Зона Б-5,"1,163.79"
Иван Вазов,"1,838.22"
Изгрев,"1,600.00"
Изток,"1,595.48"
Илинден,"1,058.82"
Илиянци,830.76
Карпузица,946.75
Княжево,964.69
Красна поляна 1,943.18
Красна поляна 2,918.47
Красна поляна 3,815.67
Красно село,"1,208.33"
Кръстова вада,"1,183.52"
Лагера,"1,195.06"
Левски,808.61
Левски В,872.09
Левски Г,886.11
Лозенец,"1,582.21"
Люлин - център,900.00
Люлин 1,848.35
Люлин 10,891.73
Люлин 2,723.57
Люлин 3,874.60
Люлин 4,926.47
Люлин 5,855.55
Люлин 6,852.27
Люлин 7,"1,019.23"
Люлин 8,892.85
Люлин 9,906.73
м-т Гърдова глава,"1,023.28"
Малинова долина,911.29
Манастирски ливади,"1,073.17"
Медицинска академия,"1,637.62"
Младост 1,"1,221.76"
Младост 1А,"1,325.31"
Младост 2,"1,264.12"
Младост 3,"1,204.96"
Младост 4,"1,130.17"
Модерно предградие,755.31
Мусагеница,"1,243.60"
Надежда 1,950.00
Надежда 2,891.38
Надежда 3,952.87
Надежда 4,955.39
Обеля,750.00
Обеля 1,764.58
Обеля 2,833.58
Оборище,"1,510.66"
Овча купел,916.18
Овча купел 1,934.77
Овча купел 2,899.99
Орландовци,858.97
Павлово,"1,065.21"
Подуяне,"1,051.08"
Разсадника,"1,036.58"
Редута,"1,172.87"
Република,453.93
Света Троица,"1,041.01"
Свобода,900.00
Сердика,"1,023.89"
Симеоново,"1,000.00"
Славия,"1,185.33"
Слатина,"1,096.16"
Стрелбище,"1,328.70"
Студентски град,"1,036.84"
Сухата река,"1,000.00"
Суходол,651.78
Толстой,928.57
Факултета,531.91
Филиповци,706.89
Фондови жилища,"1,000.00"
Хаджи Димитър,996.51
Хиподрума,"1,262.71"
Хладилника,"1,208.21"
Христо Ботев,508.19
Център,"1,470.00"
Яворов,"1,916.66"
,900.45
