 type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller
 1-СТАЕН, София, гр. София, Красна поляна 1,53000,46,1152.17, Тухла,1974,8, ДА, 2019-01-30, 2019-01-31, Агенция
 1-СТАЕН, София, гр. София, Център,71999,52,1384.59, Тухла,2008,2, ДА, 2019-06-28, 2019-06-30, Агенция
 1-СТАЕН, София, гр. София, Хаджи Димитър,52900,47,1125.53, Панел,1985,8, НЕ, 2019-04-16, 2019-04-30, Агенция
 1-СТАЕН, София, гр. София, Младост 3,53000,46,1152.17, Панел,0,3, ДА, 2019-01-14, 2019-01-31, Агенция
 1-СТАЕН, София, гр. София, Дружба 1,39000,28,1392.85, ЕПК,0,2, ДА, 2019-01-14, 2019-01-31, Агенция
 1-СТАЕН, София, гр. София, Банишора,45000,45,1000, Панел,0,1, ДА, 2019-03-27, 2019-03-31, Агенция
 1-СТАЕН, София, гр. София, Гевгелийски,40500,41,987.8, Панел,0,ofia, ДА, 2019-01-28, 2019-01-31, Агенция
 1-СТАЕН, София, гр. София, Люлин 9,36600,44,831.81, Тухла,2020,5, НЕ, 2019-03-26, 2019-03-31, Агенция
 1-СТАЕН, София, гр. София, Хиподрума,65000,48,1354.16, Тухла,1990,3, ДА, 2019-01-10, 2019-01-31, Агенция
 1-СТАЕН, София, гр. София, Център,36000,35,1028.57, Тухла,0,0, НЕ, 2019-02-27, 2019-02-28, Агенция
 1-СТАЕН, София, гр. София, Сухата река,27500,30,916.66, Панел,0,4, НЕ, 2019-07-26, 2019-07-31, Агенция
 1-СТАЕН, София, гр. София, Люлин 9,37700,44,856.81, Тухла,2020,4, НЕ, 2019-03-26, 2019-03-31, Агенция
 1-СТАЕН, София, гр. София, Овча купел 1,58900,46,1280.43, Панел,1990,1, ДА, 2019-12-17, 2019-12-31, Агенция
 1-СТАЕН, София, гр. София, Люлин 6,45990,48,958.12, Панел,1984,7, ДА, 2019-06-25, 2019-06-30, Агенция
