"period","config","cv_score"
"daily","daily_rectangular_nrd0_0.500",87.3590377514703
"daily","daily_rectangular_SJ_0.500",59.7361636840589
"daily","daily_rectangular_ucv_0.500",51.8529780080887
"daily","daily_epanechnikov_nrd0_0.500",67.1464340742111
"daily","daily_epanechnikov_SJ_0.500",48.9010241117368
"daily","daily_epanechnikov_ucv_0.500",42.5850484834004
"daily","daily_biweight_nrd0_0.500",58.3925101127439
"daily","daily_biweight_SJ_0.500",44.003313807797
"daily","daily_biweight_ucv_0.500",37.6615762420377
"daily","daily_triangular_nrd0_0.500",59.2451324055386
"daily","daily_triangular_SJ_0.500",44.1143767397874
"daily","daily_triangular_ucv_0.500",37.6934711279201
"daily","daily_gaussian_nrd0_0.500",101.425878718984
"daily","daily_gaussian_SJ_0.500",68.1757440720641
"daily","daily_gaussian_ucv_0.500",57.251087810571
"weekly","weekly_rectangular_nrd0_0.500",106.497268961684
"weekly","weekly_rectangular_SJ_0.500",89.0651050728909
"weekly","weekly_rectangular_ucv_0.500",83.7841414220976
"weekly","weekly_epanechnikov_nrd0_0.500",83.6600895666948
"weekly","weekly_epanechnikov_SJ_0.500",68.1724403973354
"weekly","weekly_epanechnikov_ucv_0.500",64.0175218811431
"weekly","weekly_biweight_nrd0_0.500",72.209774720772
"weekly","weekly_biweight_SJ_0.500",59.575247283239
"weekly","weekly_biweight_ucv_0.500",56.6670152799253
"weekly","weekly_triangular_nrd0_0.500",72.825720057794
"weekly","weekly_triangular_SJ_0.500",60.7010517958179
"weekly","weekly_triangular_ucv_0.500",57.4591824402758
"weekly","weekly_gaussian_nrd0_0.500",122.214320684885
"weekly","weekly_gaussian_SJ_0.500",102.108834647619
"weekly","weekly_gaussian_ucv_0.500",95.4699899070321
"monthly","monthly_rectangular_nrd0_0.500",143.459939005927
"monthly","monthly_rectangular_SJ_0.500",133.912548062989
"monthly","monthly_rectangular_ucv_0.500",144.346603250588
"monthly","monthly_epanechnikov_nrd0_0.500",111.196323385817
"monthly","monthly_epanechnikov_SJ_0.500",105.788653935758
"monthly","monthly_epanechnikov_ucv_0.500",112.008339072408
"monthly","monthly_biweight_nrd0_0.500",97.9421470236799
"monthly","monthly_biweight_SJ_0.500",94.4172357682164
"monthly","monthly_biweight_ucv_0.500",99.300576629228
"monthly","monthly_triangular_nrd0_0.500",100.372569090418
"monthly","monthly_triangular_SJ_0.500",96.0667015733052
"monthly","monthly_triangular_ucv_0.500",101.279766022407
"monthly","monthly_gaussian_nrd0_0.500",147.671632912967
"monthly","monthly_gaussian_SJ_0.500",143.264285618888
"monthly","monthly_gaussian_ucv_0.500",149.133722354501
"yearly","yearly_rectangular_nrd0_0.500",283.526023528944
"yearly","yearly_rectangular_SJ_0.500",333.598710031845
"yearly","yearly_rectangular_ucv_0.500",333.598710031845
"yearly","yearly_epanechnikov_nrd0_0.500",250.673347583741
"yearly","yearly_epanechnikov_SJ_0.500",387.713503782783
"yearly","yearly_epanechnikov_ucv_0.500",367.397167148425
"yearly","yearly_biweight_nrd0_0.500",250.673347583742
"yearly","yearly_biweight_SJ_0.500",382.711651280515
"yearly","yearly_biweight_ucv_0.500",398.876658044981
"yearly","yearly_triangular_nrd0_0.500",250.673347583741
"yearly","yearly_triangular_SJ_0.500",371.00163302055
"yearly","yearly_triangular_ucv_0.500",369.454750742356
"yearly","yearly_gaussian_nrd0_0.500",314.082976665626
"yearly","yearly_gaussian_SJ_0.500",447.473204427283
"yearly","yearly_gaussian_ucv_0.500",411.741540341001
