Date       | ProductID | QuantitySold | Revenue
2022-01-01 | A001      | 10           | 100.00
2022-01-02 | B002      | 8            | 120.50
2022-01-03 | A001      | 5            | 50.00
2022-01-03 | C003      | 12           | 180.75
2022-01-04 | B002      | 6            | 90.30
2022-01-05 | A001      | 15           | 150.00
           | A001      |              | 100.00
2022-01-03 | C003      | 12           | 180.75
2022-01-05 | C003      | 8            | 120.50
2022-01-06 | B002      | 10           | 150.00
2022-01-07 | A001      | 12           | 120.00
2022-01-02 | B002      | 8            | 120.50
2022-01-06 | B002      | 10           | 
2022-01-07 | C003      | 6            | 90.00
