anonINDX,GENDER,eINDX,HSCH,MJR,atitMATH,passMATH,gradeMATH,firstQIZZ,c_firstQIZZ,1diffQIZZ,c_1diffQIZZ,1averQIZZ,c_1averQIZZ,1averQIZZ_H,2diffQIZZ,c_2diffQIZZ,2averQIZZ,c_2averQIZZ,2averQIZZ_H,1numE,c_1numE,2numE,c_2numE,1honLST,2honLST,1numP,c_1numP,2numP,c_2numP,1numQ,c_1numQ,2numQ,c_2numQ,1averATND,c_1averATND,1averATND_H,2averATND,c_2averATND,2averATND_H,1numHW,c_1numHW,2numHW,c_2numHW,1honHW,2honHW,1paperHW,2paperHW,1lateHW,2lateHW,1hardHW,1hardHW_H,c_1hardHW,2hardHW,2hardHW_H,c_2hardHW,1additHW,1lateADHW,2additHW,2electADHW,1proxi.25,2proxi.25,proxi.25,1proxi.75,2proxi.75,proxi.75,1DISS,c_1DISS,DDIFF,2DISS,c_2DISS,Y1,Y1_33,Y1_66,Y1group,Y1CHEAT,Y2,Y2_33,Y2_66,Y2group,Y2CHEAT
1,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.60544217683673,0,0,-2.26530612235102,1,0,-1.93877551020408,0,-0.591836734693878,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3,1.14285714285714,1,4,1.3469387755102,0.15,1,0,1,0,0.25,0,0,2,0
2,1,15,NA,NA,NA,,,NA,NA,NA,NA,0.355,0.0275724085243902,1,NA,NA,0.4,-0.0653424050833333,0,3,0.0222222222222221,3,-0.088888888888889,1,1,3,0.0217391304347827,3,-0.0444444444444443,3,0.268292682926829,1,-0.583333333333333,3,0.394557823163265,1,2.333333333,0.0680272106489799,0,3,1.06122448979592,0,-0.591836734693878,1,0,1,NA,0.3333333333,NA,0.3888888889,0,-0.0132850241426087,0.6666666667,1,0.0862068965827586,1,1,1,1,0.33,0,0.71,0,1,0,0,-1.85714285714286,1,1,-1.6530612244898,0.05,1,0,2,0,0.6,0,1,1,0
3,0,22,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.0222222222222221,1,-2.08888888888889,1,0,3,0.0217391304347827,1,-2.04444444444444,NA,NA,NA,NA,2,-0.605442176836735,0,0.6666666667,-1.59863945565102,1,3,1.06122448979592,1,0.408163265306122,0,0,0,0,0.3333333333,0,0,0,-0.402173913042609,NA,NA,NA,0,NA,1,1,0.67,0,0.86,0,1,0,3,1.14285714285714,3,6,3.3469387755102,0.525,0,0,1,1,0.15,1,0,1,0
4,0,46,NA,NA,NA,,,NA,NA,NA,NA,0.08,-0.24742759147561,0,NA,NA,0.21,-0.255342405083333,0,2,-0.977777777777778,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,2,-0.731707317073171,2,0.416666666666667,2.333333333,-0.272108843836735,0,3.333333333,1.06802721064898,0,1,-0.938775510204082,1,0.408163265306122,1,0,0.3333333333,1,0.3333333333,1,0.5,1,0.0978260869573913,0.6666666667,1,0.0862068965827586,1,0,1,1,1,0.67,1,0.67,0.67,0.67,0,-1.85714285714286,1,1,-1.6530612244898,0.45,0,0,1,0,0.225,1,0,1,0
5,1,13,1,3,3,,,0.0625,-0.20062499996,0.103125,0.00386874995999999,0.165625,-0.16180259147561,0,0.1375,-0.0744399271304348,0.2,-0.265342405083333,0,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,4,0.955555555555556,3,0.268292682926829,1,-0.583333333333333,3.666666667,1.06122449016327,1,3,0.73469387764898,0,1,-0.938775510204082,1,0.408163265306122,1,1,0.3333333333,0,0,1,0.2222222222,0,-0.179951690842609,0.3333333333,0,-0.247126436817241,0,NA,1,1,1,0.33,1,0.5,0.67,0.4,2,0.142857142857143,0,2,-0.653061224489796,0.525,0,0,1,1,0.225,1,0,1,0
6,0,37,1,4,2,,,0.270833333,0.00770833304000002,-0.05312499975,-0.15238124979,0.2177083333,-0.10971925817561,0,0.129166667,-0.0827732601304348,0.4,-0.0653424050833333,0,4,1.02222222222222,3,-0.088888888888889,1,1,3,0.0217391304347827,3,-0.0444444444444443,2,-0.731707317073171,1,-0.583333333333333,3,0.394557823163265,1,2.333333333,0.0680272106489799,0,2,0.0612244897959184,1,0.408163265306122,1,0,0.3333333333,1,0,1,0.1666666667,0,-0.235507246342609,0.5,0,-0.0804597701172414,0,NA,1,0,1,0,1,1,1,0.43,0,-1.85714285714286,1,1,-1.6530612244898,0.55,0,1,1,0,0.65,0,1,2,0
7,0,NA,NA,NA,NA,,,NA,NA,NA,NA,0.055,-0.27242759147561,0,NA,NA,NA,NA,NA,1,-1.97777777777778,1,-2.08888888888889,1,1,2,-0.978260869565217,1,-2.04444444444444,1,-1.73170731707317,NA,NA,1.333333333,-1.27210884383673,0,0.6666666667,-1.59863945565102,1,1,-0.938775510204082,0,-0.591836734693878,0,0,0.3333333333,NA,0,NA,0.2222222222,0,-0.179951690842609,NA,NA,NA,0,NA,,,1,NA,0.43,0,NA,NA,3,1.14285714285714,0,3,0.346938775510204,0.4,0,0,1,1,0.7,0,1,2,0
8,0,42,NA,NA,NA,,,NA,NA,NA,NA,0.34,0.0125724085243903,1,NA,NA,0.8,0.334657594916667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,0,0,0,0,0.6111111111,1,0.208937198057391,0.5,0,-0.0804597701172414,1,0,1,0,0.67,0.33,0.86,0.33,0.33,0.33,2,0.142857142857143,0,2,-0.653061224489796,0.275,1,0,2,1,0.15,1,0,2,0
9,1,35,NA,NA,NA,,,NA,NA,NA,NA,0.485,0.15757240852439,1,NA,NA,0.2,-0.265342405083333,0,2,-0.977777777777778,2,-1.08888888888889,1,1,3,0.0217391304347827,2,-1.04444444444444,3,0.268292682926829,1,-0.583333333333333,2.666666667,0.0612244901632653,1,1.666666667,-0.59863945535102,1,3,1.06122448979592,1,0.408163265306122,1,0,1,1,0.3333333333,1,0.7222222222,1,0.320048309157391,0.5,0,-0.0804597701172414,1,1,1,0,0.67,0,0.86,0,1,0,2,0.142857142857143,1,3,0.346938775510204,0.375,0,0,1,1,0.25,1,0,1,0
10,0,23,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.365342405083333,0,4,1.02222222222222,3,-0.088888888888889,1,1,4,1.02173913043478,4,0.955555555555556,NA,NA,2,0.416666666666667,2.666666667,0.0612244901632653,1,3,0.73469387764898,0,0,-1.93877551020408,0,-0.591836734693878,NA,1,NA,NA,NA,NA,0,0,-0.402173913042609,1,1,0.419540229882759,0,NA,0,NA,1,0,0.43,0.5,0,0.21,2,0.142857142857143,0,2,-0.653061224489796,0.25,1,0,2,1,0,1,0,1,0
