"group","horizon","mult_slack","mult_exp","diff","pval_diff"
"Panel",4,1.573,2.472,-0.899,0.306
"Panel",8,1.405,1.026,0.38,0.472
"Panel",12,1.19,1.296,-0.106,0.794
"BG",4,1.084,1.006,0.078,0.959
"BG",8,2.784,1.641,1.143,0.406
"BG",12,2.321,1.826,0.495,0.653
"EL",4,2.936,5.782,-2.847,0.176
"EL",8,4.432,4.485,-0.053,0.964
"EL",12,3.104,4.513,-1.409,0.053
"HR",4,3.774,-1.659,5.432,0.071
"HR",8,4.342,-0.381,4.723,0.021
"HR",12,2.309,-1.356,3.665,0.068
"ME",4,2.566,5.441,-2.875,0.293
"ME",8,1.657,-3.877,5.534,0.321
"ME",12,0.578,1.117,-0.539,0.745
"MK",4,1.082,-0.103,1.184,0.361
"MK",8,0.545,-0.55,1.096,0.326
"MK",12,3.485,1.604,1.881,0.388
"RO",4,0.6,2.229,-1.629,0.22
"RO",8,-0.332,-0.22,-0.112,0.875
"RO",12,-0.535,0.006,-0.541,0.496
"RS",4,-2.891,0.217,-3.108,0.16
"RS",8,-2.346,0.191,-2.536,0.124
"RS",12,-3.766,-1.365,-2.402,0.423
"SI",4,4.143,-1.993,6.136,0.003
"SI",8,4.596,-0.236,4.833,0.031
"SI",12,4.971,1.665,3.306,0.114
