"country","group_id","start_q","end_q","n_obs","n_slack","pct_slack","country_name"
"CA","Advanced",1995-04-01,2023-07-01,114,47,41.2,"Canada"
"DE","Advanced",1998-07-01,2026-01-01,87,38,43.7,"Germany"
"FR","Advanced",1998-04-01,2026-01-01,97,45,46.4,"France"
"US","Advanced",2002-04-01,2023-10-01,87,33,37.9,"United States"
"BA","Balkan",2021-04-01,2025-10-01,19,8,42.1,"Bosnia & Herz."
"BG","Balkan",2000-04-01,2026-01-01,104,53,51,"Bulgaria"
"EL","Balkan",1998-04-01,2026-01-01,112,51,45.5,"Greece"
"HR","Balkan",2002-04-01,2026-01-01,96,47,49,"Croatia"
"ME","Balkan",2011-04-01,2021-01-01,40,21,52.5,"Montenegro"
"MK","Balkan",2006-04-01,2026-01-01,80,41,51.2,"North Macedonia"
"RO","Balkan",1998-07-01,2026-01-01,109,57,52.3,"Romania"
"RS","Balkan",2010-07-01,2026-01-01,56,26,46.4,"Serbia"
"SI","Balkan",1998-07-01,2026-01-01,109,59,54.1,"Slovenia"
