"panel","horizon","fs_f_stat","weak_iv"
"Balkan",0,19945535735336028234631001740935168,FALSE
"Balkan",1,27.63,FALSE
"Balkan",2,25.56,FALSE
"Balkan",3,27.77,FALSE
"Balkan",4,21.35,FALSE
"Balkan",5,31.2,FALSE
"Balkan",6,19.44,FALSE
"Balkan",7,37.58,FALSE
"Balkan",8,22.78,FALSE
"Balkan",9,18.61,FALSE
"Balkan",10,26.35,FALSE
"Balkan",11,24.57,FALSE
"Balkan",12,27.48,FALSE
"Advanced Economies",0,870359047957387333603481467486208,FALSE
"Advanced Economies",1,152,FALSE
"Advanced Economies",2,99.16,FALSE
"Advanced Economies",3,78.91,FALSE
"Advanced Economies",4,37.74,FALSE
"Advanced Economies",5,39.26,FALSE
"Advanced Economies",6,61.8,FALSE
"Advanced Economies",7,54.34,FALSE
"Advanced Economies",8,38.33,FALSE
"Advanced Economies",9,43.72,FALSE
"Advanced Economies",10,40.31,FALSE
"Advanced Economies",11,36.14,FALSE
"Advanced Economies",12,29.55,FALSE
"All",0,2040532826082123584049940887764992,FALSE
"All",1,33.71,FALSE
"All",2,31.01,FALSE
"All",3,33.45,FALSE
"All",4,25.41,FALSE
"All",5,36.63,FALSE
"All",6,25.15,FALSE
"All",7,45.71,FALSE
"All",8,27.76,FALSE
"All",9,23.65,FALSE
"All",10,32.61,FALSE
"All",11,30.06,FALSE
"All",12,32.37,FALSE
