"group","horizon","mult_slack","mult_exp","diff","pval_diff"
"Balkan",4,1.573,2.472,-0.899,0.306
"Balkan",8,1.405,1.026,0.38,0.472
"Balkan",12,1.19,1.296,-0.106,0.794
"Advanced Economies",4,3.33,1.852,1.478,0.247
"Advanced Economies",8,2.157,0.613,1.544,0.199
"Advanced Economies",12,0.603,0.434,0.169,0.863
"All Countries",4,1.616,2.376,-0.761,0.377
"All Countries",8,1.422,1.017,0.405,0.465
"All Countries",12,1.169,1.284,-0.116,0.789
"CA",4,4.232,0.329,3.903,0.018
"CA",8,1.947,-1.744,3.691,0.038
"CA",12,-0.332,-1.607,1.275,0.233
"DE",4,0.435,-3.764,4.2,0.004
"DE",8,0.451,-2.663,3.114,0.001
"DE",12,-1.254,-2.714,1.46,0.013
"FR",4,6.907,4.814,2.093,0.244
"FR",8,6.802,5.808,0.994,0.276
"FR",12,5.92,6.029,-0.109,0.884
"US",4,0.49,-3.09,3.58,0.142
"US",8,2.134,-4.459,6.594,0.023
"US",12,0.731,-4.178,4.909,0.034
"BG",4,1.084,1.006,0.078,0.959
"BG",8,2.784,1.641,1.143,0.406
"BG",12,2.321,1.826,0.495,0.653
"EL",4,2.936,5.782,-2.847,0.176
"EL",8,4.432,4.485,-0.053,0.964
"EL",12,3.104,4.513,-1.409,0.053
"HR",4,3.774,-1.659,5.432,0.071
"HR",8,4.342,-0.381,4.723,0.021
"HR",12,2.309,-1.356,3.665,0.068
"ME",4,2.566,5.441,-2.875,0.293
"ME",8,1.657,-3.877,5.534,0.321
"ME",12,0.578,1.117,-0.539,0.745
"MK",4,1.082,-0.103,1.184,0.361
"MK",8,0.545,-0.55,1.096,0.326
"MK",12,3.485,1.604,1.881,0.388
"RO",4,0.6,2.229,-1.629,0.22
"RO",8,-0.332,-0.22,-0.112,0.875
"RO",12,-0.535,0.006,-0.541,0.496
"RS",4,-2.891,0.217,-3.108,0.16
"RS",8,-2.346,0.191,-2.536,0.124
"RS",12,-3.766,-1.365,-2.402,0.423
"SI",4,4.143,-1.993,6.136,0.003
"SI",8,4.596,-0.236,4.833,0.031
"SI",12,4.971,1.665,3.306,0.114
