"economy_type","country_name","state","quarters","mean_gdp_gr","mean_g_gr","mean_unemp","sd_gdp_gr","sd_g_gr"
"Advanced Economies","Canada","Expansion",66,0.33,0.47,6.92,1.65,0.84
"Advanced Economies","Canada","Slack",46,0.88,0.49,7.75,1.32,0.98
"Advanced Economies","France","Expansion",52,0.22,0.37,8.39,2.87,2.56
"Advanced Economies","France","Slack",45,0.43,0.35,8.8,0.4,0.26
"Advanced Economies","Germany","Expansion",49,0.1,0.43,4.71,0.99,0.76
"Advanced Economies","Germany","Slack",38,0.59,0.6,6.28,0.6,0.68
"Advanced Economies","United States","Expansion",53,0.25,0.62,5,1.35,1.07
"Advanced Economies","United States","Slack",32,0.98,-0.17,7.37,1.28,0.83
"Balkan","Bulgaria","Expansion",51,0.56,0.62,7.56,1.46,2.46
"Balkan","Bulgaria","Slack",53,1.02,0.6,10.3,0.92,1.86
"Balkan","Croatia","Expansion",49,0.32,0.44,9.59,2.91,2.26
"Balkan","Croatia","Slack",47,0.81,0.84,12.12,1.33,2.24
"Balkan","Greece","Expansion",61,-0.24,-0.1,13.33,2.53,2.72
"Balkan","Greece","Slack",51,0.76,0.52,16.24,1.42,2.95
"Balkan","Montenegro","Expansion",19,-0.94,-0.62,16.98,4.9,6.68
"Balkan","Montenegro","Slack",21,1.71,1.47,18.22,3.84,4.21
"Balkan","North Macedonia","Expansion",39,0.63,0.92,23.26,3.73,4.69
"Balkan","North Macedonia","Slack",41,0.63,-0.07,24.31,1.04,3
"Balkan","Romania","Expansion",52,0.59,0.69,6.05,3,12.86
"Balkan","Romania","Slack",57,1.02,-0.65,6.65,1.96,10.69
"Balkan","Serbia","Expansion",30,0.54,0.35,12.06,2.71,2.05
"Balkan","Serbia","Slack",26,0.75,0.3,12.17,1.09,2.63
"Balkan","Slovenia","Expansion",50,0.17,0.6,5.51,1.99,1.11
"Balkan","Slovenia","Slack",59,0.95,0.5,6.91,1.79,1.06
